profile,mem_init,mem_max,cpu
adblockplus,150.0,224.0,11.2
adblockplus,152.0,,29.2
adblockplus,152.0,,13.6
adblockplus,153.0,236.0,31.7
adblockplus,153.0,,20.2
adblockplus,153.0,,10.2
adblockplus,154.0,301.0,12.0
adblockplus,155.0,254.0,23.9
adblockplus,155.0,,26.8
adblockplus,155.0,,15.1
adblockplus,156.0,278.0,18.3
adblockplus,156.0,317.0,22.5
adblockplus,156.0,,19.0
adblockplus,156.0,,17.9
adblockplus,156.0,,6.2
adblockplus,156.0,,10.6
adblockplus,156.0,,7.3
adblockplus,157.0,244.0,15.9
adblockplus,157.0,,11.2
adblockplus,157.0,,8.2
adblockplus,157.0,,16.8
adblockplus,157.0,,12.5
adblockplus,157.0,,27.1
adblockplus,157.0,,18.8
adblockplus,158.0,209.0,26.0
adblockplus,158.0,278.0,14.6
adblockplus,158.0,,10.2
adblockplus,158.0,,17.7
adblockplus,158.0,,28.8
adblockplus,159.0,,19.0
adblockplus,159.0,,32.4
adblockplus,160.0,195.0,9.2
adblockplus,160.0,197.0,19.2
adblockplus,160.0,,11.0
adblockplus,161.0,232.0,16.0
adblockplus,161.0,357.0,16.5
adblockplus,161.0,,13.7
adblockplus,162.0,239.0,16.5
adblockplus,162.0,,30.0
adblockplus,163.0,248.0,20.7
adblockplus,163.0,,30.4
adblockplus,163.0,,26.0
adblockplus,164.0,,20.7
adblockplus,164.0,,19.4
adblockplus,164.0,,25.5
adblockplus,165.0,,22.9
adblockplus,166.0,,17.0
adblockplus,167.0,357.0,9.0
adblockplus,167.0,,13.7
adblockplus,167.0,,23.4
adblockplus,168.0,251.0,18.0
adblockplus,168.0,,11.2
adblockplus,168.0,,31.7
adblockplus,169.0,,11.5
adblockplus,170.0,241.0,22.4
adblockplus,170.0,,28.0
adblockplus,171.0,,23.7
adblockplus,171.0,,16.5
adblockplus,172.0,222.0,17.1
adblockplus,172.0,296.0,10.9
adblockplus,172.0,,18.8
adblockplus,172.0,,10.2
adblockplus,172.0,,26.9
adblockplus,172.0,,14.1
adblockplus,172.0,,7.8
adblockplus,174.0,,19.0
adblockplus,175.0,207.0,18.5
adblockplus,175.0,301.0,20.2
adblockplus,175.0,,16.7
adblockplus,176.0,209.0,15.9
adblockplus,176.0,,14.5
adblockplus,177.0,297.0,19.3
adblockplus,177.0,327.0,12.0
adblockplus,177.0,,20.3
adblockplus,177.0,,12.6
adblockplus,177.0,,5.7
adblockplus,177.0,,13.4
adblockplus,177.0,,12.8
adblockplus,178.0,,13.0
adblockplus,178.0,,30.3
adblockplus,179.0,,15.2
adblockplus,180.0,336.0,19.1
adblockplus,180.0,,13.3
adblockplus,180.0,,21.2
adblockplus,180.0,,9.2
adblockplus,180.0,,6.9
adblockplus,180.0,,26.0
adblockplus,181.0,319.0,16.3
adblockplus,181.0,,19.8
adblockplus,181.0,,13.1
adblockplus,181.0,,17.3
adblockplus,182.0,328.0,28.2
adblockplus,182.0,330.0,11.1
adblockplus,182.0,,20.1
adblockplus,182.0,,19.9
adblockplus,182.0,,26.2
adblockplus,182.0,,16.6
adblockplus,183.0,300.0,17.7
adblockplus,183.0,329.0,18.3
adblockplus,183.0,350.0,7.3
adblockplus,183.0,,20.3
adblockplus,183.0,,18.2
adblockplus,183.0,,8.7
adblockplus,183.0,,6.8
adblockplus,183.0,,19.0
adblockplus,183.0,,14.2
adblockplus,183.0,,15.4
adblockplus,184.0,334.0,26.6
adblockplus,184.0,378.0,8.6
adblockplus,184.0,,14.7
adblockplus,184.0,,14.8
